Thai,English
เธ ,Shelter
ใช่ ,yes
ไม่ ,no
เน ,Nod
โอเค ,okay
โอ้ ,oh
เฮ้ ,Hey!
ๆ ,In
เอ่อ ,Uh
ครับ ,yes
you ,you 
นี่ ,this
the ,the 
อืม ,um
ขอบคุณ ,thank you
อะไรนะ ,what?
i ,i 
แต่ ,but
เอาล่ะ ,Okay
อะไร ,what
ค่ะ ,yes
พระเจ้า ,God
ฟังนะ ,Listen
และ ,and
to ,to 
ฉัน ,I
a ,a 
เธฒเธ ,Great
เธญเธ ,The
ได้โปรด ,please
แน่นอน ,certain
s ,s 
ดี ,good
แล้ว ,already
ทำไม ,Why
ได้ ,can
ไม่เป็นไร ,nevermind
ไป ,go
ที่รัก ,darling
งั้น ,otherwise
โอ ,oh
เธตเน ,The
เธฑเธ ,You
it ,it 
เกิดอะไรขึ้น ,what happened
คุณ ,you
เดี๋ยว ,wait a minute
ตอนนี้ ,now
อ่า ,dress
ก็ได้ ,okay
แม่ ,mother
and ,and 
พ่อ ,father
สวัสดี ,hello
ปี ,year
ฉันรู้ ,I know
บรรยายไทยโดย ,Thai lecture by
ว้าว ,wow
ไม่นะ ,no
ใช่แล้ว ,yes
ใช่ไหม ,Right?
t ,t 
เปล่า ,nothing
ใช่มั้ย ,Right?
ดังนั้น ,so
คือ ,is
เธกเน ,Thine
เร็วเข้า ,Faster
ผม ,hair
of ,of 
that ,that 
หวัดดี ,hi
in ,in 
ฉันขอโทษ ,I am sorry
ไม่เอาน่า ,No
เพื่อน ,friend
ตกลง ,agree
อ้อ ,oh
เหรอ ,really?
จริงเหรอ ,Really?
c.bg ,c.bg 
นะ ,Yes
chffffff ,chffffff 
หรือ ,or
เยี่ยม ,visit
เออ ,Yes!
on ,on 
คน ,person
is ,is 
ไง ,how
ไม่ใช่ ,no
ไปกันเถอะ ,Let's go
ฮัลโหล ,hello
เดี๋ยวก่อน ,Wait a minute
me ,me 
แต่ว่า ,but
หยุด ,stop
ั ,Top
ฉันไม่รู้ ,I do not know
ขอโทษนะ ,excuse me